AMOSTRA,area,REP,COL,H,N,S,UR,T,D_EV1,F1_LC__m,F1_LP,F1_EL__m,F1_NP,F1_GP__m,F1_SP__m,F1_OC__m,D_EV2,F2_LC__m,F2_LP,F2_EL__m,F2_NP,F2_GP__m,F2_SP__m,F2_OC__m,D_EV3,F3_LC__m,F3_LP,F3_EL__m,F3_NP,F3_GP__m,F3_SP__m,F3_OC__m
S1c3,S1c,3,C,0.5004,5,2,84.9,24.7,0.8268812492627846,656100,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,0.1486722,135120,68,621900,900,1383300
S1c4,S1c,4,C,2.045,14,9,84.9,24.7,0.8268812492627846,656100,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,0.1486722,135120,68,621900,900,1383300
S2a1,S2a,1,A,0.6931,2,2,87,20.7,0.8615399192037505,897300,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,0.251503006,145500,60,1681200,900,3905100
S2a2,S2a,2,A,1.972,11,8,87,20.7,0.8615399192037505,897300,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,0.251503006,145500,60,1681200,900,3905100
S2a3,S2a,3,A,1.889,9,7,87,20.7,0.8615399192037505,897300,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,0.251503006,145500,60,1681200,900,3905100
S2b1,S2b,1,B,1.567,14,7,85.6,22.4,0.7013068652604306,633600,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,0.570381922,222480,54,15792300,900,11767500
S2b2,S2b,2,B,1.58,15,7,85.6,22.4,0.7013068652604306,633600,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,0.570381922,222480,54,15792300,900,11767500
S2b3,S2b,3,B,2.835,56,22,85.6,22.4,0.7013068652604306,633600,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,0.570381922,222480,54,15792300,900,11767500
S2b4,S2b,4,B,2.626,22,16,85.6,22.4,0.7013068652604306,633600,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,0.570381922,222480,54,15792300,900,11767500
S2c1,S2c,1,C,2.22,23,11,89.4,21.3,0.6485575986956178,660600,0.195524774,18720,7,372600,1800,225900,0.8473557675000062,2755800,0.203468669,60900,25,929700,900,1279800,0.8313054723749121,4886100,0.160171117,131340,60,1131300,900,1826100
S2c2,S2c,2,C,2.025,10,8,89.4,21.3,0.6485575986956178,660600,0.195524774,18720,7,372600,1800,225900,0.8473557675000062,2755800,0.203468669,60900,25,929700,900,1279800,0.8313054723749121,4886100,0.160171117,131340,60,1131300,900,1826100
